trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9985724484938566}",25,3,-23.1400320669923,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.997146934891016}",25,13,-74.41996953266471,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9957234562822662}",30,0,-102.89719964325432,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9943020097625482}",25,0,-184.0668021665214,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9928825924309503}",20,0,-208.14659193571467,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.991465201390702}",25,0,-172.9159406464519,"{0: 9, 1: 7, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-199.86453307794656,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9886364866178425}",20,0,-72.05566732031228,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9872251571123429}",30,0,-241.3157986921564,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.9858158423524046}",25,0,-59.927521207436754,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9844085394618745}",20,0,-105.68702912839038,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9830032455687053}",25,0,-126.21168451063205,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.98159995780495}",30,0,-57.08268762741267,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-99.46346068194813,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9787993892143566}",20,0,-92.96687761496484,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9774021026720714}",25,0,-158.68181946290184,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9760068108282943}",35,0,-179.61511540766745,"{0: 25, 1: 0, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9746135108354902}",20,0,-121.79937140384601,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9732221998501893}",20,0,-100.9770014526893,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9718328750329811}",20,0,-95.45255471427747,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-173.20612373027373,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.969060172565461}",20,0,-269.8871080266084,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 5}",0
23,False,"{'a': 0.5, 'e': 0.9676767892565716}",25,0,-141.89004918012245,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9662953807986084}",25,0,-126.77492709905364,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.96491594437237}",20,0,-62.49854291929039,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9635384771626796}",25,0,-154.1243154962485,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.962162976358379}",20,0,-90.52615394937334,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-111.94215447588583,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9594178627413747}",30,0,-247.280872935087,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.9580482443263975}",35,0,-265.0593455802809,"{0: 17, 1: 9, 2: 4, 3: 0, 4: 5}",0
31,False,"{'a': 0.5, 'e': 0.9566805811122513}",30,0,-163.42136198114187,"{0: 15, 1: 7, 2: 4, 3: 3, 4: 1}",0
