trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.99934206349148,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.32936816303007,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.19747116180986,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.05699713491136,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.44760503650531,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.850833873811,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.6665151448788,"{0: 8, 1: 2, 2: 7, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.3838138432457,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.63982562588694,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.645413435088,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,14,-57.09990324412441,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.11836030128266,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,1,-135.86803366915456,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-191.09780259473177,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.062597963264,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.9322710361363,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.6383492487133,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.1806018272294,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,4,-84.61027803021922,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.35199601730376,"{0: 10, 1: 0, 2: 7, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-161.51640720835712,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.35258353967572,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-32.95677717168861,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-181.04281694167773,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-174.35264561079,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.83647392201632,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.437829372744,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.81419282034298,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-70.47349693918692,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.9606459590709,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
